answer,intent
"Vợ, chồng, cha, mẹ, hoặc người thân thích khi một bên mắc bệnh tâm thần hoặc là nạn nhân của bạo lực gia đình.",04_51_1
Trong trường hợp một bên vợ hoặc chồng mắc bệnh tâm thần hoặc là nạn nhân của bạo lực gia đình,04_51_2
"Người thân, cha, mẹ của bên mắc bệnh tâm thần hoặc bị bạo lực gia đình",04_51_2
"Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình và là nạn nhân của bạo lực gia đình do chồng hoặc vợ gây ra, ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.",04_51_2
"Chồng không có quyền yêu cầu ly hôn khi vợ đang mang thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi.",04_51_3
"Không, khi vợ đang mang thai, sinh con hoặc nuôi con dưới 12 tháng tuổi chồng không thể yêu cầu ly hôn",04_51_3
"Khi vợ đang mang thai, sinh con hoặc nuôi con dưới 12 tháng tuổi chồng không thể yêu cầu ly hôn",04_51_3
"Nhà nước và xã hội khuyến khích việc hòa giải ở cơ sở khi vợ, chồng có yêu cầu ly hôn, thực hiện theo quy định của pháp luật về hòa giải ở cơ sở.",04_52
"Khi có yêu cầu ly hôn, Nhà nước và xã hội khuyến khích hòa giải ở cơ sở khi vợ hoặc chồng có yêu cầu ly hồn thực hiện theo quy định của pháp luật về hòa giải ở cơ sở",04_52
"Nhà nước và xã hội khuyến khích việc hòa giải ở cơ sở khi vợ, chồng có yêu cầu ly hôn, thực hiện theo quy định của pháp luật về hòa giải ở cơ sở.",04_52
Tòa án có thẩm quyền thụ lý đơn yêu cầu ly hôn theo quy định của pháp luật về tố tụng dân sự.,04_53_1
Tòa án có đủ quyền thụ lý đơn yêu cầu ly hôn theo quy định của pháp luật về tố tụng dân sự,04_53_1
"Theo quy định của pháp luật về tố tụng dân sự, tòa án có thẩm quyền thụ lý đơn yêu cầu ly hôn.",04_53_1
"Trong trường hợp không đăng ký kết hôn mà có yêu cầu ly hôn, Tòa án thụ lý và tuyên bố không công nhận quan hệ vợ chồng theo quy định tại khoản 1 Điều 14 của Luật hôn nhân và gia đình. Nếu có yêu cầu về con và tài sản, thì giải quyết theo quy định tại Điều 15 và Điều 16 của Luật hôn nhân và gia đình.",04_53_2
Trong trường hợp yêu cầu phân chia tài sản và quyền nuôi con khi yêu cầu ly hôn nhưng không đăng kí kết hôn. Tòa án thụ lý và tuyên bố không công nhận quan hệ vợ chồng theo quy định khoản 1 Điều 14 và yêu cầu về con và tài sản giải quyết theo Điều 15 và Điều 16.,04_53_2
"Trong trường hợp không đăng ký kết hôn mà có yêu cầu ly hôn, Tòa án thụ lý và tuyên bố không công nhận quan hệ vợ chồng theo quy định khoản 1 Điều 14.",04_53_2
"Tòa án thực hiện hòa giải sau khi đã thụ lý đơn yêu cầu ly hôn, theo quy định của pháp luật về tố tụng dân sự.",04_54
"Theo quy định của pháp luật về tố tụng dân sự, tòa án thực hiện hòa giải sau khi đã thụ lý đơn yêu cầu ly hôn",04_54
"Theo quy định của pháp luật về tố tụng dân sự, tòa án thực hiện hòa giải sau khi đã thụ lý đơn yêu cầu ly hôn",04_54
"Nếu xét thấy cả hai bên tự nguyện ly hôn và đã thỏa thuận về chia tài sản, trông nom, nuôi dưỡng, chăm sóc, giáo dục con sao cho bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ công nhận thuận tình ly hôn.",04_55
"Khi vợ chồng cùng yêu cầu ly hôn, cả hai bên tự nguyện ly hôn và thỏa thuận về chia tài sản, nuôi con đảm bảo quyền lợi chính đáng của vợ và con. Tòa án sẽ công nhận ly hôn,",04_55
"Khi vợ chồng cùng yêu cầu ly hôn, cả hai bên tự nguyện ly hôn và thỏa thuận về chia tài sản, nuôi con đảm bảo quyền lợi chính đáng của vợ và con. Tòa án sẽ công nhận ly hôn,",04_55
"Trong trường hợp không thỏa thuận được hoặc thỏa thuận nhưng không bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ giải quyết việc ly hôn.",04_55
"Trong trường hợp không thỏa thuận được hoặc thỏa thuận nhưng không bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ giải quyết việc ly hôn.",04_55
"Trong trường hợp không thỏa thuận được hoặc thỏa thuận nhưng không bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ giải quyết việc ly hôn.",04_55
"Tòa án giải quyết cho ly hôn nếu có căn cứ về việc vợ, chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ của vợ, chồng làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được.",04_56_1
